dataset,datasetTitle,publisher,themes
http://data.europa.eu/88u/dataset/beis-spending-over-500-on-a-gpc-government-procurement-card,BEIS spending over £500 - also known as ePCS (electronic purchasing card solution or GPC (government payment card),nodeID://b2832752607,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/fkhgdl4n6b6frrkficjiia,"Average hours worked and paid per employee, by working time and NACE Rev. 1.1 activity - LCS survey 2004",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/https-opendata-ostrava-cz-od-metadata2-id-1121,Počet dopravních přestupků dle způsobu řešení evidovaných v roce 2018,https://rpp-opendata.egon.gov.cz/odrpp/zdroj/orgán-veřejné-moci/00845451,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/iaivd3grvl7cal0ezo8jxg,Self-reported unmet needs for medical examination by main reason declared and NUTS 2 region,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/driver-testing-outcomes-for-cars-by-test-centre,Driver Testing Outcomes for Cars by Test Centre,nodeID://b686686959,http://publications.europa.eu/resource/authority/data-theme/TRAN
http://data.europa.eu/88u/dataset/kqpb8t5eaeiqvl7xjjhm3a,Self-reported last cervical smear test among women by age and degree of urbanisation,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/https-opendata-ostrava-cz-od-metadata2-id-3458,Hřiště otevřená veřejnosti 2025,https://rpp-opendata.egon.gov.cz/odrpp/zdroj/orgán-veřejné-moci/00845451,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/cqxrwfstxzkkzsmbodiyg,"Number of enterprises with innovation activity in manufacturing sector, by sector of technology (1996)",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/ECON|http://publications.europa.eu/resource/authority/data-theme/SOCI|http://publications.europa.eu/resource/authority/data-theme/TECH
http://data.europa.eu/88u/dataset/equids-pyr-identitas,Equids - Age pyramid,http://www.identitas.ch/,http://publications.europa.eu/resource/authority/data-theme/AGRI
http://data.europa.eu/88u/dataset/ap7jgllsyx2kmossttu2kq,Persons aged 25-64 with at least upper secondary educational attainment level by sex,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/pzaiyv7d3ho3rh6ukycbmq,Maritime goods short-sea shipping performed in the Exclusive Economic Zone (EEZ) of the countries,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/TRAN
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-4427-pomoc-wojenna-w-2022-roku-wielkosc-beneficjenta,Pomoc Wojenna w 2022 roku - Wielkość beneficjenta,"https://dane.gov.pl/pl/institution/26,uokik",http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/yctqubxge78na9x8ps24w,"Inactive population by sex, age group and educational attainment level",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/7bc34c8c-40d1-483f-8da5-2a4b6b0aaace,Integrated Computerized Network General Practices,https://org.belgif.be/id/CbeRegisteredEntity/0419052173,http://publications.europa.eu/resource/authority/data-theme/HEAL
http://data.europa.eu/88u/dataset/oga-onshore-fields-wgs84,OGA Onshore Fields WGS84,nodeID://b2210239198,http://publications.europa.eu/resource/authority/data-theme/ENVI
http://data.europa.eu/88u/dataset/454h8e3brw4tqapsidkmg~~2,Arrears on utility bills,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/land_use_information,Land_Use_Information,nodeID://b686688379,http://publications.europa.eu/resource/authority/data-theme/ENVI
http://data.europa.eu/88u/dataset/financial-transactions-data-royal-liverpool-and-broadgreen-university-hospital-nhs-trust,"Spend over £25,000 in Royal Liverpool and Broadgreen University Hospital NHS Trust",nodeID://b3218993634,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-5591-ceny-ofertowe-mieszkan-dewelopera-green-house-development-wilanow-spzoo-sk-w-2025-r,Offer prices of apartments of developer Green House Development Wilanów SPZOO SK in 2025.,"https://dane.gov.pl/pl/institution/2446,ghd-wilanow-ii-spolka-z-ograniczona-odpowoedzialno",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-10781-ceny-ofertowe-mieszkan-dewelopera-grimbud-barska-sp-z-oo-w-2025-r,Offer prices of apartments of developer Grimbud Barska Sp. z o.o. in 2026.,"https://dane.gov.pl/pl/institution/2246,grimbud-barska-spolka-z-ograniczona-odpowiedzialno",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/species-point-records-from-1998-iecs-holderness-coast-easington-sublittoral-sediment-survey,Species point records from 1998 IECS Holderness Coast-Easington sublittoral sediment survey,nodeID://b697246588,http://publications.europa.eu/resource/authority/data-theme/ENVI
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-10162-ceny-ofertowe-mieszkan-dewelopera-dom-na-mariackiej-spoka-z-ograniczona-odpowiedzialnoscia-inwestycja-dom-na-mariackiej-w-2025-r,Offer prices of apartments of developer DOM NA MARIACKIEJ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ - investment Dom na Mariackiej in 2026.,"https://dane.gov.pl/pl/institution/3389,dom-na-mariackiej-spolka-z-ograniczona-odpowiedzia",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/uk-2012-inspire-monitoring-indicators-report,UK 2012 INSPIRE Monitoring Indicators Report,nodeID://b3221568772,http://publications.europa.eu/resource/authority/data-theme/ENVI
http://data.europa.eu/88u/dataset/sports-pitches1,Sports pitches,nodeID://b697245074,http://publications.europa.eu/resource/authority/data-theme/ENVI
http://data.europa.eu/88u/dataset/cc8oqorv1h7ntm8szfljg,"Realised sample size - monthly data, experimental statistics",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/sqeeof5vrq0cxpbvmgr0a,"Immigration by age group, sex and citizenship",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/local-health-boards-december-2015-full-clipped-boundaries-in-wales5,Local Health Boards (December 2015) Full Clipped Boundaries in Wales,nodeID://b3217835824,http://publications.europa.eu/resource/authority/data-theme/REGI
http://data.europa.eu/88u/dataset/contracts-register-hdc,Contracts Register,nodeID://b3221564793,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/jrc-luisa-lf312-water-productivity-ref-2014,LF312 - Water Productivity (LUISA Platform REF2014),http://publications.europa.eu/resource/authority/corporate-body/JRC,http://publications.europa.eu/resource/authority/data-theme/ENVI|http://publications.europa.eu/resource/authority/data-theme/TECH
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-7355-ceny-ofertowe-mieszkan-dewelopera-nowa-cegielnia-5,Ceny ofertowe mieszkań dewelopera Nowa Cegielnia 5 sp. z o. o. w 2025 r.,"https://dane.gov.pl/pl/institution/3629,nowa-cegielnia-5-spolka-z-ograniczona-odpowiedzial",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/uhwlwjmeersx5oiciwkrg,"Population in private households by country of birth, labour status and NUTS 2 region",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/ECON|http://publications.europa.eu/resource/authority/data-theme/GOVE|http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/REGI|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/https-statdata-statistics-sk-public-api-dc-opendata-cube-dataset-00000002-0000-0000-0000-000000000340,Gini coefficient of equivalised disposable income by NUTS regions,https://data.gov.sk/id/legal-subject/00166197,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/dmjoq2r7igtn8vqif7xtw,Individuals using the internet for doing an online course,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/ECON|http://publications.europa.eu/resource/authority/data-theme/SOCI|http://publications.europa.eu/resource/authority/data-theme/TECH
http://data.europa.eu/88u/dataset/https-monitor-statnipokladna-gov-cz-api-opendata-monitor-priloha-2015_03_data_csuis_pril,Notes to Financial Statements - period 03/2015,https://rpp-opendata.egon.gov.cz/odrpp/zdroj/orgán-veřejné-moci/00006947,http://publications.europa.eu/resource/authority/data-theme/ECON|http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/warwickshire-mobile-library-timetable,Mobile Library Timetable,nodeID://b693945788,http://publications.europa.eu/resource/authority/data-theme/EDUC
http://data.europa.eu/88u/dataset/2fd65e22-72a3-4cc2-9508-f54e7be7e902,Course unit catalogue 2016/2017,nodeID://b5509997730,http://publications.europa.eu/resource/authority/data-theme/EDUC
http://data.europa.eu/88u/dataset/mwx5xtj5b2wmvupiwk5q,"Expenditure on social benefits by function, type of benefit and means-testing",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/5a15dbfa-a229-4374-b66d-181fdcf508e5~~1,Curricula 2018/2019,nodeID://b5509997871,http://publications.europa.eu/resource/authority/data-theme/EDUC
http://data.europa.eu/88u/dataset/qf7-expenditure-over-25k-jun-23,QF7 Expenditure Over 25k - Jun-23,nodeID://b1952400920,http://publications.europa.eu/resource/authority/data-theme/HEAL
http://data.europa.eu/88u/dataset/habitat-point-records-from-1993-aes-south-east-scotland-sublittoral-sediment-survey,Habitat point records from 1993 AES south-east Scotland sublittoral sediment survey,nodeID://b686684591,http://publications.europa.eu/resource/authority/data-theme/ENVI
http://data.europa.eu/88u/dataset/national-diabetes-foot-care-audit-2014-2016,National Diabetes Foot Care Audit 2014-2016,nodeID://b3218993353,http://publications.europa.eu/resource/authority/data-theme/HEAL
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-6525-ceny-ofertowe-mieszkan-inbap-deweloper-w-2025-r,Ceny ofertowe mieszkań INBAP DEWELOPER,"https://dane.gov.pl/pl/institution/1683,inbap-deweloper-spolka-z-ograniczona-odpowiedzialn",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-5733-ceny-ofertowe-mieszkan-dewelopera-kwiatowa-oaza-sp-z-o-o-w-2025-r,Offer prices of apartments of developer Kwiatowa Oaza Sp. z o. o. in 2025.,"https://dane.gov.pl/pl/institution/2310,kwiatowa-oaza-spolka-z-ograniczona-odpowiedzialnos",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/https-monitor-statnipokladna-gov-cz-api-opendata-monitor-finszu-2024_12_data_csuis_finszu,Loans overview - period 12/2024,https://rpp-opendata.egon.gov.cz/odrpp/zdroj/orgán-veřejné-moci/00006947,http://publications.europa.eu/resource/authority/data-theme/ECON|http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/species-point-records-from-1991-ici-north-east-england-sublittoral-sediment-survey,Species point records from 1991 ICI north-east England sublittoral sediment survey,nodeID://b693935863,http://publications.europa.eu/resource/authority/data-theme/ENVI
http://data.europa.eu/88u/dataset/species-point-records-from-1974-university-of-dundee-loch-eriboll-littoral-survey,Species point records from 1974 University of Dundee Loch Eriboll littoral survey,nodeID://b693935899,http://publications.europa.eu/resource/authority/data-theme/ENVI
http://data.europa.eu/88u/dataset/rgq6ucb5hgwyqvlz61fnq,Ranking of citizenship by migration status (2014),http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/jju3beixu18o2dtmessrq,Persons in part-time employment by country of birth - % of total employment,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/fv9mom1xxphtrowlwnpaqa,Prisoners by citizenship,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/zocr6xjgvguvgu4o57g5dg,Population not wanting to participate in education and training by main reason and age,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-7668-raport-cen-mieszkan-jhm-development-11092025,Raport cen mieszkań JHM DEVELOPMENT,"https://dane.gov.pl/pl/institution/712,jhm-development-spolka-akcyjna",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/https-data-gov-lt-datasets-1444-,Data on R&amp;D projects,nodeID://b5363210662,http://publications.europa.eu/resource/authority/data-theme/TECH
http://data.europa.eu/88u/dataset/organogram-may-2023,Organogram of Staff Roles and Salaries for IfATE,nodeID://b1877359350,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/mglnwfytolhuomg1fuuvqq,Loans (excluding mortgages on purchase of main residence) by income quintile,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/xhfjjx7vdhrtckbjiqpawq,"Sector specific variables - profit and loss account, balance sheet, additional accounting variables (1992-2001)",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/daventry-brownfield-land-register-2017-12-12-rev1,daventry_brownfield_land_register_2018-12-12_rev1,nodeID://b693932664,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/https-monitor-statnipokladna-gov-cz-api-opendata-monitor-finm-2021_09_data_csuis_finm,FIN 2-12 M - Budget Fulfillment of LGU - period 09/2021,https://rpp-opendata.egon.gov.cz/odrpp/zdroj/orgán-veřejné-moci/00006947,http://publications.europa.eu/resource/authority/data-theme/ECON|http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-3111-opracowanie-fotonicznego-czujnika-stezenia-metanu,Opracowanie fotonicznego czujnika stężenia metanu (RPMA.01.02.00-14-5656/16),"https://dane.gov.pl/pl/institution/328,inphotech-sp-z-oo",http://publications.europa.eu/resource/authority/data-theme/TECH
http://data.europa.eu/88u/dataset/kjai8jjwcleebw2gibqla,Persons living in households with very low work intensity by income quantile and household composition (population aged 0 to 59 years) - EU 2020 strategy,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/workforce-management-information-serious-fraud-office,Workforce management information,nodeID://b693941554,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/o2bfpvq0pzk9ytneqwplng,"Mean annual holidays by sex, economic activity and employment contract (2014)",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/urn-ine-es-tabla-t3-9-67257,National indices by subgroup. IPCA (Identificador API: 67257),http://datos.gob.es/recurso/sector-publico/org/Organismo/EA0010587,http://datos.gob.es/kos/sector-publico/sector/economia|http://datos.gob.es/kos/sector-publico/sector/sociedad-bienestar|http://publications.europa.eu/resource/authority/data-theme/ECON|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/9xjnezricdcj4xqnmibkg,"Mean hourly earnings by sex, age and economic activity (2022)",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/https-data-gov-gr-admie_realtimescadares~~1,Renewable Energy Sources,https://data.gov.gr/admie,http://publications.europa.eu/resource/authority/data-theme/ENVI
http://data.europa.eu/88u/dataset/ou,Outpatient first and follow-up appointments 2014-15,nodeID://b686688778,http://publications.europa.eu/resource/authority/data-theme/HEAL
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-8738-ceny-ofertowe-osiedle-slow-2025-09-17,ceny-ofertowe-osiedle-slow-2025-09-17,"https://dane.gov.pl/pl/institution/1483,ippon-gutkowo-1-sp-z-oo",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-8120-manufaktura-marki-2-novisa-development,Manufaktura Marki 2 - Novisa development,"https://dane.gov.pl/pl/institution/596,novisa-development-spolka-z-ograniczona-odpowiedzi",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/https-lkod-msk-cz-nkod-dataset-77abbdf88b03426a9da1b9183597f791_0,Population in Grid,https://rpp-opendata.egon.gov.cz/odrpp/zdroj/orgán-veřejné-moci/70890692,http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/northumberland-polling-district-breakdown-including-voter-totals,Northumberland Polling district breakdown including voter totals,nodeID://b693941570,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/qqbcfmqkoug3jcqln7a,"Women who have experienced violence by a domestic perpetrator, by country of birth",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-8948-ceny-ofertowe-mieszkan-dewelopera-nowy-wolow-sp-z,Ceny ofertowe mieszkań dewelopera Nowy Wołów Sp. z o. o. w 2025r.,"https://dane.gov.pl/pl/institution/1747,nowy-wolow-sp-z-oo",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-10057-ceny-ofertowe-mieszkan-dewelopera-przedsiebiorstwo-budownictwa-ogolnego-sp-z-oo-w-2025-r,Offer prices of apartments of developer PRZEDSIĘBIORSTWO BUDOWNICTWA OGÓLNEGO SP. Z O.O. from 2025 to 2026,"https://dane.gov.pl/pl/institution/1598,przedsiebiorstwo-budownictwa-ogolnego-sp-z-oo",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/norfolk-biodiversity-information-service,Norfolk Biodiversity Information Service,nodeID://b693942138,http://publications.europa.eu/resource/authority/data-theme/ENVI
http://data.europa.eu/88u/dataset/jrc-10117-10015,REM data bank - Year 1998,http://publications.europa.eu/resource/authority/corporate-body/JRC,http://publications.europa.eu/resource/authority/data-theme/ENVI|http://publications.europa.eu/resource/authority/data-theme/TECH
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-27-rejestr-systemow-kodowania,Rejestr Systemów Kodowania,"https://dane.gov.pl/pl/institution/51,centrum-e-zdrowia",http://publications.europa.eu/resource/authority/data-theme/HEAL
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-6164-wille-miejskie-i,Wille Miejskie w Żmigrodzie etap I,"https://dane.gov.pl/pl/institution/1006,invest-projekt-sp-z-oo",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/https-dane-gov-pl-pl-dataset-7798-ceny-ofertowe-osiedle-slow-2025-09-12,ceny-ofertowe-osiedle-slow-2025-09-12,"https://dane.gov.pl/pl/institution/1483,ippon-gutkowo-1-sp-z-oo",http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/aab7ifhiv3qfxtdjzgpzg,Self-employed persons by economic activity (NACE Rev. 1.1) (1992-2008),http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/hyfswl1opnufvnuerfhuw,Liquid biofuels production capacities,http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/ENER|http://publications.europa.eu/resource/authority/data-theme/ENVI
http://data.europa.eu/88u/dataset/axc1dqxrybeu4yfyhurikw,Volume of containers transported to/from main ports - quarterly data (2023 - 2024),http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/TRAN
http://data.europa.eu/88u/dataset/ngtt5lahro7tfgrmgepq,"Employed persons in selected tourism industries (NACE Rev. 2) by professional status, full-time/part-time employment and sex (2008-2026) - quarterly data",http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/ECON
http://data.europa.eu/88u/dataset/https-opendata-elia-be-explore-dataset-ods174-,Balancing energy volume components per minute (Near real-time),https://org.belgif.be/id/CbeRegisteredEntity/0731852231,http://publications.europa.eu/resource/authority/data-theme/ENER
http://data.europa.eu/88u/dataset/ministerial-data-home-office,"Ministerial gifts, hospitality, travel and meetings with external organisations in Home Office",nodeID://b686678077,http://publications.europa.eu/resource/authority/data-theme/GOVE
http://data.europa.eu/88u/dataset/doi-10-34934-dvn-pbhfqd,aFLEXIthymia - Stimulus selection,https://org.belgif.be/id/CbeRegisteredEntity/0419052272,http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/azquchtnyixsrxyzwgu7lw,Children at risk of poverty or social exclusion by educational attainment level of their parents (population aged 0 to 17 years),http://publications.europa.eu/resource/authority/corporate-body/ESTAT,http://publications.europa.eu/resource/authority/data-theme/HEAL|http://publications.europa.eu/resource/authority/data-theme/JUST|http://publications.europa.eu/resource/authority/data-theme/SOCI
http://data.europa.eu/88u/dataset/dogs-breeds-identitas,Dogs - Evolution by breed,http://www.identitas.ch/,http://publications.europa.eu/resource/authority/data-theme/AGRI
